UserID, TotalActionNum, Time, Task, TaskActionNum, Address, ChunkSpec, Activation
003, 2, 1652460166.663262, Start, 2, 00100019, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), 0.566206221798262
003, 3, 1652460177.343983, Start, 3, 00100000, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -1.199082888136519
003, 3, 1652460177.343983, Start, 3, 00100000, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -1.1842201723934294
003, 4, 1652460349.977173, Introduction, 1, 00100000, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.6064782209399997
003, 4, 1652460349.977173, Introduction, 1, 00100000, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.605600022517523
003, 4, 1652460349.977173, Introduction, 1, 00100000, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.575584527691652
003, 5, 1652460377.224740, Navigation_1, 1, 00100027, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.6756534766649733
003, 5, 1652460377.224740, Navigation_1, 1, 00100027, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.6748888340722323
003, 5, 1652460377.224740, Navigation_1, 1, 00100027, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.648860487104311
003, 5, 1652460377.224740, Navigation_1, 1, 00100027, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -1.6524821152293756
003, 6, 1652460394.739628, Navigation_1, 2, 0010cd90, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.7155462202353746
003, 6, 1652460394.739628, Navigation_1, 2, 0010cd90, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.7148402561438303
003, 6, 1652460394.739628, Navigation_1, 2, 0010cd90, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.690859471469552
003, 6, 1652460394.739628, Navigation_1, 2, 0010cd90, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -1.900684864859144
003, 6, 1652460394.739628, Navigation_1, 2, 0010cd90, ((CURRENT 00100027) (LAG1 00100000) (LAG2 00100000)), -1.4315256324301835
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.7760608786817556
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.77543543921421
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.7542505608076664
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -2.1530299627309595
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 00100027) (LAG1 00100000) (LAG2 00100000)), -1.9240109484123662
003, 7, 1652460424.124938, Navigation_1, 3, 00100000, ((CURRENT 0010cd90) (LAG1 00100027) (LAG2 00100000)), -1.6902474436920245
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.8169232525872596
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.8163469224200477
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.796859311711248
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -2.28269409059624
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100027) (LAG1 00100000) (LAG2 00100000)), -2.1159819896368557
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 0010cd90) (LAG1 00100027) (LAG2 00100000)), -1.969210115932838
003, 8, 1652460446.077064, Navigation_2, 1, 0010cd90, ((CURRENT 00100000) (LAG1 0010cd90) (LAG2 00100027)), -1.5444319962571558
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.8376813833642087
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.837128503355164
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.8184492675786297
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -2.3408708251742447
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100027) (LAG1 00100000) (LAG2 00100000)), -2.1954335150141073
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 0010cd90) (LAG1 00100027) (LAG2 00100000)), -2.073116381228701
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 00100000) (LAG1 0010cd90) (LAG2 00100027)), -1.7603808073414093
003, 9, 1652460457.935107, Navigation_2, 2, 00100000, ((CURRENT 0010cd90) (LAG1 00100000) (LAG2 0010cd90)), -1.2365031838806027
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100000) (LAG1 NIL) (LAG2 NIL)), -2.9489375536479843
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100019) (LAG1 00100000) (LAG2 NIL)), -2.9484950191918755
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100000) (LAG1 00100019) (LAG2 00100000)), -2.93360166946623
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100000) (LAG1 00100000) (LAG2 00100019)), -2.598215570488187
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100027) (LAG1 00100000) (LAG2 00100000)), -2.516455642140335
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 0010cd90) (LAG1 00100027) (LAG2 00100000)), -2.455827210551391
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 00100000) (LAG1 0010cd90) (LAG2 00100027)), -2.3339724586990136
003, 10, 1652460530.603633, Navigation_3, 1, 0010cc90, ((CURRENT 0010cd90) (LAG1 00100000) (LAG2 0010cd90)), -2.218532954835619
